first_name,middle_name,last_name,gender,race,address_number,street,zip,county,state,file_number,offense_date,disposition,disposition_date,county_disposition,arrest_agency_name,arrest_agency_department,arrest_agency_address_number,arrest_agency_street,dob,offense_description,arrest_date,arrest_agency_zip
Penelopa,Melinde,Tesyro,F,Polynesian,219,Badeau,24024,Durham,NC,6520212822,8/14/2018,Guilty,7/22/2018,Durham,Durham Police Department,Durham Police,6216,Waywood,11/4/2018,Ω≈ç√∫˜µ≤≥÷,7/18/2018,08638
Rawley,Beth,Edmons,F,Pima,7,Steensland,80905,Durham,NC,7940094599,7/26/2018,Guilty,7/31/2018,Durham,Durham Police Department,Durham Police,2,Commercial,8/29/2018,0.00,1/11/2019,29208
Claire,Elane,Dixsee,M,Asian Indian,8630,Marcy,24004,Durham,NC,0332567613,12/20/2018,Guilty,1/15/2019,Durham,Durham Police Department,Durham Police,922,Gateway,11/3/2018,åß∂ƒ©˙∆˚¬…æ,6/12/2018,21747
Krissie,Dahlia,Andryushin,F,Chippewa,50,Barby,92137,Durham,NC,4765305457,7/25/2018,Guilty,4/10/2019,Durham,Durham Police Department,Durham Police,5,Mosinee,1/25/2019,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",2/15/2019,05609
Darelle,Querida,Posthill,F,Chickasaw,77754,Garrison,43605,Durham,NC,3187960049,4/7/2019,Guilty,7/4/2018,Durham,Durham Police Department,Durham Police,0,Fair Oaks,4/15/2019,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,1/16/2019,95833
Chloe,Gaye,Butterfint,F,Paraguayan,144,Morning,14609,Durham,NC,3045340784,11/25/2018,Guilty,1/20/2019,Durham,Durham Police Department,Durham Police,1,Northwestern,1/12/2019, test ,12/2/2018,77228
Alair,Clary,Schops,F,Native Hawaiian and Other Pacific Islander (NHPI),8,Fieldstone,90101,Durham,NC,7513616531,3/14/2019,Guilty,5/21/2018,Durham,Durham Police Department,Durham Police,4907,Armistice,2/5/2019,/dev/null; touch /tmp/blns.fail ; echo,7/21/2018,53277
Eldridge,Ricca,Petracco,M,Tlingit-Haida,09,Sutteridge,03804,Durham,NC,7652688094,9/13/2018,Guilty,12/27/2018,Durham,Durham Police Department,Durham Police,944,Butterfield,6/14/2018,-1E+02,7/11/2018,27621
Lorianna,Herminia,Toke,F,Vietnamese,2,Morning,78783,Durham,NC,3351651813,7/30/2018,Guilty,5/17/2018,Durham,Durham Police Department,Durham Police,4673,Walton,3/15/2019,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,9/23/2018,12242
Renee,Casie,Ballinger,F,Mexican,63315,Harbort,77095,Durham,NC,9089630422,10/10/2018,Guilty,5/23/2018,Durham,Durham Police Department,Durham Police,512,Delaware,12/27/2018,(╯°□°）╯︵ ┻━┻)  ,12/3/2018,95155
Sollie,Nedi,Seyler,M,Alaska Native,339,Transport,97229,Durham,NC,3997134464,1/5/2019,Guilty,12/22/2018,Durham,Durham Police Department,Durham Police,360,Rockefeller,2/8/2019,‫test‫,8/7/2018,79176
Callie,Tamarra,Pincked,F,Bangladeshi,040,7th,98447,Durham,NC,3562564007,9/6/2018,Guilty,2/24/2019,Durham,Durham Police Department,Durham Police,66,Cody,8/8/2018, test ,1/2/2019,12262
Darelle,Raye,Deegan,F,Asian Indian,4170,Gina,55470,Durham,NC,0267775105,9/18/2018,Guilty,10/5/2018,Durham,Durham Police Department,Durham Police,79,Express,8/14/2018,1;DROP TABLE users,3/7/2019,68505
Kevina,Ivonne,Beller,M,Creek,88,Mockingbird,33018,Durham,NC,1704108136,12/2/2018,Guilty,10/3/2018,Durham,Durham Police Department,Durham Police,01,Annamark,11/1/2018,null,2/25/2019,33673
Gloriana,Vivian,Birchenough,F,Vietnamese,736,Garrison,92862,Durham,NC,9238279616,4/8/2019,Guilty,11/27/2018,Durham,Durham Police Department,Durham Police,49,8th,9/15/2018,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,4/19/2019,13505
